objectid,isbn
4488,9781589940819
4488,1589940814
24742,1589943791
7420,0874311446
159651,1940825520
9675,3493628889
37696,3937826831
45134,1594721246
46807,1594721173
290,0970855494
43528,3440690806
20660,2915496161
20660,1556347499
22894,1556347553
37501,1556347863
39801,1556347847
42519,1556347812
130402,2914849923
166322,1616619570
494,2914849478
40237,0671296183
42306,1589948386
10664,0874312167
40776,1589945956
61882,158994660X
111,0976115611
1265,1572813059
2165,1604380535
5942,1572814160
65673,1616615915
129320,0984816410
30356,3939794481
121423,1938146921
174095,3770000010275
478,2844761496
4390,0971942056
154386,3760175512452
193265,3761562233
4488,1589940881
10908,1589941578
11200,0964385643
42047,3939794333
55916,1589946693
68722,1280225084
68722,1589949129
138110,1616616784
34863,0641843232
230505,8032611691096
174922,097691445X
249578,194532306X
3972,3440691217
244258,1945323078
173634,0980209277
142402,0980209226
212662,1945323035
146330,0980209234
168857,0980209285
146329,0980209242
234071,1945323051
196213,1945323027
159683,0980209269
158222,0980209250
173959,0980209293
258289,1945323086
302181,1945323124
286882,1945323108
932,393979449X
987,1601252315
8170,3937826076
28025,2914849362
371,1572812060
12632,3446227660
29410,1427616574
908,3440681017
4505,3898758915
18803,3897772124
17970,0786947942
10814,3828781934
36739,1589944240
184704,4015566600461
8273,388973913X
6209,1589942191
23142,1589942191
8017,3933513227
16933,393782667X
29678,3939794686
2542,1555601693
6607,3937826858
27306,0786920157
253776,1785819208
6627,0965869474
9962,3937826432
221233,1472822218
203462,1858136504
250439,1589781848
22172,1589942868
5405,1588461637
1137,3440077098
4101,3440695514
4101,0786912480
17534,0786918306
41289,1616611944
41393,158994738X
41451,1589949838
41451,1589944747
41452,1589949838
41452,1589944747
33581,1588467414
67208,3939794988
220784,3760175514791
68280,1616612142
21380,0978811100
177078,0786947489
29118,158846542X
105,2915496056
268684,1841549894
22822,1589943309
23665,1589943163
38643,1589943694
24976,1589943333
36722,1589944593
1915,1558062750
141653,1936920123
216,1589941004
40788,1589944356
40919,1589944364
40920,1589944372
40922,1589944399
42668,1589945883
71084,1589949366
166000,1616618507
41452,1589949846
41452,1589944755
50748,1589946871
61882,1616618701
67001,1589948629
41393,1589947339
96939,1589947339
107463,1456398164
24764,5576041127
196612,1936920611
4491,1633441350
25677,1560765909
28717,1588465403
8522,1556346107
193693,1472817281
157912,064692690X
220778,3760175514081
15953,2167000634
4505,1741210925
160154,827714008272
3943,3937826017
42047,0979658551
39941,6000130201
2025,155634774X
2025,9781556347740
24878,2915556571
124486,1616614293
41392,1589943007
41458,1589949862
51314,1589946286
127667,1616615079
23741,1932697500
154416,1616614536
56835,0984155821
119472,1568821875
2238,9990379416
10206,3473677132
72766,1589949331
9910,1589942035
34864,0641843208
34864,0641843216
7972,3440692620
1612,9990380848
26472,0916211150
107863,1588466574
18803,3897773643
18803,9783897773646
11415,0972819789
3651,3937826688
20494,3939794112
353,158994108X
98366,1589947347
29109,8495830973
29095,156504293X
32391,156504293X
28861,0834199971
152952,1617683205
55279,1934857564
11618,189302864X
14087,3939794015
22263,3937826521
27767,3937826971
15678,0452264162
11618,1893028623
2797,1556344503
1417,0923763473
22826,1589943058
214146,1846095727
24410,0977975614
112772,1616613459
31258,1589944186
6420,1893028674
13071,2914849524
71034,1589948645
93257,1589949935
32114,1934857378
32678,2914849613
149112,9781631400018
149112,1631400010
31759,0979204739
144873,1601255632
29109,1589943880
181228,5425016923986
51314,1633440931
60232,1589946308
100245,1589947363
18626,1589942264
23513,1589943147
1408,0880384751
268685,1841549991
268692,1782530568
8098,3558380048183
309862,1734511532
250437,1589781813
15064,1588466248
6718,0966347625
74983,0978616049
157345,3862530337
13291,8495830965
322163,194828524X
258472,5060523340286
257332,5060523340323
206494,8416357455
108745,3558380015338
294306,1589943643
288794,1589943643
230498,8890944781
245045,8894957004
258451,8894957012
267735,8894957047
283718,8894957101
206377,1941816312
181561,1941816282
178561,194181607X
178563,194181610X
181566,1941816363
